cellName,fusionPresent_bool
H17_B003070,0
C20_B000901,0
O16_B003112,0
D16_B003187,0
O8_B003920,0
A14_B001016,0
L21_B003048,0
A20_B003648,0
D20_B001464,0
C21_B000862,0
B2_B003647,0
F5_B003646,0
G8_B003577,0
P14_B001608,0
N20_B003577,0
B1_B000863,0
B13_B003920,0
E22_B003894,0
F6_B000863,0
B7_1001000295,0
N1_B000280,0
B4_B002078,0
H10_B003648,0
P5_B003518,0
B10_B003191,0
E9_1001000327,0
A20_B000863,0
O17_B003522,0
A22_B002573,0
K12_B003659,0
B21_1001000408,0
K21_1001000339,0
A7_B003518,0
J1_B000430,0
E17_B000862,0
L2_B003070,0
O14_B003656,0
C14_B000420,0
M19_B000420,0
G16_1001000339,0
M1_B000419,0
K17_B003097,0
B22_B003643,0
L5_B000419,0
A3_B001016,0
E3_B003920,0
L4_B003777,0
D13_B003648,0
O12_B000420,0
P5_1001000410,0
A19_B001464,0
I2_B003113,0
E21_B003116,0
B15_B003894,0
H19_B002572,0
H13_B002078,0
H8_B001016,0
H19_B001543,0
A17_B003071,0
P10_B003894,0
H6_B000278,0
I6_1001000412,0
C7_B002571,0
D4_1001000297,0
D13_B003659,0
G2_1001000302,0
N15_B003528,0
N17_B003518,0
O3_B000862,0
N20_B000887,0
K17_B000862,0
O20_B001474,0
G7_1001000407,0
F14_B003920,0
C16_B002571,0
P16_B001008,0
K2_B003588,0
I6_B003527,0
G12_B003577,0
G5_B003776,0
P14_B003097,0
K16_B001545,0
E9_B001545,0
G22_B003116,0
F13_B003119,0
C2_B003528,0
B15_B003529,0
N7_B003527,0
E2_B003528,0
C6_B003643,0
D22_B003527,0
I16_B003116,0
F6_1001000292,0
A13_B000862,0
G8_1001000408,0
J12_B001474,0
D2_B003646,0
K6_1001000408,0
F18_B003113,0
E15_B000862,0
J12_B003648,0
N21_B003126,0
C11_10001000325,0
D19_B001556,0
E1_B003117,0
L12_1001000409,0
F21_1001000407,0
